939::Brad Lockerman
940::Brad Pitt
941::Brad Rearden
942::Brad Renfro
943::Brad Silberling
944::Brad Sullivan
945::Bradford Dillman
946::Bradley Cooper
947::Bradley Gregg
948::Bradley Pierce
949::Bradley Whitford
950::Brady Bluhm
951::Braeden Reed
952::Brandon De Wilde
953::Brandon Walters
954::Brandy Heidrick
955::Brandy Kopp
956::Branko Lustig
957::Braulio Mantovani
958::Brea Bee
959::Breckin Meyer
960::Bree Turner
961::Brenda Blethyn
962::Brenda Canela
963::Brenda Chapman
964::Brendan Fletcher
965::Brendan Fraser
966::Brendan Gleeson
967::Brendan McCarthy
968::Brent Briscoe
969::Brent Hinkley
970::Brent Maddock
971::Brent Spiner
972::Bret McKenzie
973::Brett Cullen
974::Brett Favre
975::Brian Avery
976::Brian Blessed
977::Brian Bloom
978::Brian Cox
979::Brian De Palma
980::Brian Delate
981::Brian Dennehy
982::Brian Dierker
983::Brian Doyle-Murray
984::Brian Easdale
985::Brian Eno
986::Brian F. O'Byrne
987::Brian Glover
988::Brian Haley
989::Brian Helgeland
990::Brian Howe
991::Brian Hutton
992::Brian Kerwin
993::Brian Libby
994::Brian Markinson
995::Brian May
996::Brian O'Byrne
997::Brian O'Halloran
998::Brian Regan
999::Brian Reitzell
1000::Brian Sacca
1001::Brian Stepanek
1002::Brian Taylor
1003::Brian Thompson
1004::Brian Tufano
1005::Brian Tyler
1006::Bridget Fonda
1007::Bridget Moynahan
1008::Bridgette Wilson-Sampras
1009::Brigitte Fosey
1010::Brigitte Helm
1011::Brion James
1012::Brittany Daniel
1013::Brittany Murphy
1014::Brittany Snow
1015::Brock Peters
1016::Bronagh Gallagher
1017::Bronco Billy Anderson
1018::Bronislau Kaper
1019::Bronson Webb
1020::Bronte Woodard
1021::Brooke Bundy
1022::Broose Johnson
1023::Bruce A. Evans
1024::Bruce Bennett
1025::Bruce Blain
1026::Bruce Boa
1027::Bruce Broughton
1028::Bruce Cabot
1029::Bruce Campbell
1030::Bruce Davison
1031::Bruce Dern
1032::Bruce Graham
1033::Bruce Greenwood
1034::Bruce Joel Rubin
1035::Bruce Jones
1036::Bruce Kirby
1037::Bruce McGill
1038::Bruce McVittie
1039::Bruce Ornstein
1040::Bruce Payne
1041::Bruce Spence
1042::Bruce Surtees
1043::Bruce Willis
1044::Bruce Yarnell
1045::Bruno Carotenuto
1046::Bruno Corbucci
1047::Bruno Coulais
1048::Bruno Delbonnel
1049::Bruno Ganz
1050::Bruno Kirby
1051::Bryan Brown
1052::Bryan Callen
1053::Bryan Cranston
1054::Bryan Dick
1055::Bryan Greenberg
1056::Bryan Rowe
1057::Bryan Singer
1058::Bryce Dallas Howard
1059::Bráulio Mantovani
1060::Buck Henry
1061::Buck Taylor
1062::Bud Spencer
1063::Budd Lewis
1064::Buddy Ebsen
1065::Buddy Johnson
1066::Buff Brady
1067::Burgess Meredith
1068::Burkhard Dallwitz
1069::Burl Ives
1070::Burn Gorman
1071::Burr Steers
1072::Burt Bacharach
1073::Burt Lancaster
1074::Burt Reynolds
1075::Burt Young
1076::Burton Wohl
1077::Buster Keaton
1078::Busy Philipps
1079::Butterfly McQueen
1080::Byron Howard
1081::Byron Lawson
1082::Byron Mann
1083::Bérénice Marlohe
1084::C. Jay Cox
1085::C. Thomas Howell
1086::CCH Pounder
1087::Cab Calloway
1088::Caio Junqueira
1089::Caitlin Keats
1090::Calder Willingham
1091::Caleb Deschanel
1092::Cam Gigandet
1093::Cam Neely
1094::Cameron Bowen
1095::Cameron Bright
1096::Cameron Crowe
1097::Cameron Diaz
1098::Cameron Mitchell
1099::Cami Delavigne
1100::Camilla Belle
1101::Camillia Monet
1102::Campbell Scott
1103::Candace Kita
1104::Candela Peña
1105::Candice Accola
1106::Candice Bergen
1107::Cara Buono
1108::Cara Horgan
1109::Cara Seymour
1110::Carel Struycken
1111::Carey Lowell
1112::Carey Mulligan
1113::Carey Westbrook
1114::Cari Antón
1115::Carl Anderson
1116::Carl Chase
